"No.","Time","Source","Length","stNum","sqNum","goID"
"2049","1.054824992","ipcas_21:73:33","203","1","35","LIED10MEAS/LLN0$Measurement"
"2107","1.041054764","ipcas_21:73:33","203","1","36","LIED10MEAS/LLN0$Measurement"
"2163","1.057466123","ipcas_21:73:33","203","1","37","LIED10MEAS/LLN0$Measurement"
"2220","1.055990947","ipcas_21:73:33","203","1","38","LIED10MEAS/LLN0$Measurement"
"2279","1.043279307","ipcas_21:73:33","203","1","39","LIED10MEAS/LLN0$Measurement"
"2342","1.055732618","ipcas_21:73:33","203","1","40","LIED10MEAS/LLN0$Measurement"
"2399","1.056148340","ipcas_21:73:33","203","1","41","LIED10MEAS/LLN0$Measurement"
"2454","1.035028834","ipcas_21:73:33","203","1","42","LIED10MEAS/LLN0$Measurement"
"2512","1.059720005","ipcas_21:73:33","203","1","43","LIED10MEAS/LLN0$Measurement"
"2571","1.056194472","ipcas_21:73:33","203","1","44","LIED10MEAS/LLN0$Measurement"
"2634","1.060454675","ipcas_21:73:33","203","1","45","LIED10MEAS/LLN0$Measurement"
"2691","1.055511145","ipcas_21:73:33","203","1","46","LIED10MEAS/LLN0$Measurement"
"2746","1.052254074","ipcas_21:73:33","203","1","47","LIED10MEAS/LLN0$Measurement"
"2806","1.060241748","ipcas_21:73:33","203","1","48","LIED10MEAS/LLN0$Measurement"
"2866","1.059775066","ipcas_21:73:33","203","1","49","LIED10MEAS/LLN0$Measurement"
"2929","1.085484794","ipcas_21:73:33","203","1","50","LIED10MEAS/LLN0$Measurement"
"2986","1.054183444","ipcas_21:73:33","203","1","51","LIED10MEAS/LLN0$Measurement"
"3041","1.063737858","ipcas_21:73:33","203","1","52","LIED10MEAS/LLN0$Measurement"
"3100","1.055879299","ipcas_21:73:33","203","1","53","LIED10MEAS/LLN0$Measurement"
"3162","1.063146252","ipcas_21:73:33","203","1","54","LIED10MEAS/LLN0$Measurement"
"3222","1.042549483","ipcas_21:73:33","203","1","55","LIED10MEAS/LLN0$Measurement"
"3278","1.059641452","ipcas_21:73:33","203","1","56","LIED10MEAS/LLN0$Measurement"
"3333","1.047685799","ipcas_21:73:33","203","1","57","LIED10MEAS/LLN0$Measurement"
"3394","1.067062656","ipcas_21:73:33","203","1","58","LIED10MEAS/LLN0$Measurement"
"3456","1.087816425","ipcas_21:73:33","203","1","59","LIED10MEAS/LLN0$Measurement"
"3516","1.060935538","ipcas_21:73:33","203","1","60","LIED10MEAS/LLN0$Measurement"
"3571","1.081691234","ipcas_21:73:33","203","1","61","LIED10MEAS/LLN0$Measurement"
"3627","1.053063384","ipcas_21:73:33","203","1","62","LIED10MEAS/LLN0$Measurement"
"3687","1.056144131","ipcas_21:73:33","203","1","63","LIED10MEAS/LLN0$Measurement"
"3748","1.068011432","ipcas_21:73:33","203","1","64","LIED10MEAS/LLN0$Measurement"
"3807","1.044404567","ipcas_21:73:33","203","1","65","LIED10MEAS/LLN0$Measurement"
"3862","1.067356504","ipcas_21:73:33","203","1","66","LIED10MEAS/LLN0$Measurement"
"3918","1.062037232","ipcas_21:73:33","203","1","67","LIED10MEAS/LLN0$Measurement"
"3980","1.063385038","ipcas_21:73:33","203","1","68","LIED10MEAS/LLN0$Measurement"
"4042","1.050637469","ipcas_21:73:33","203","1","69","LIED10MEAS/LLN0$Measurement"
"4101","1.065995732","ipcas_21:73:33","203","1","70","LIED10MEAS/LLN0$Measurement"
"4157","1.065981322","ipcas_21:73:33","203","1","71","LIED10MEAS/LLN0$Measurement"
"4214","1.070585838","ipcas_21:73:33","203","1","72","LIED10MEAS/LLN0$Measurement"
"4274","1.045803441","ipcas_21:73:33","203","1","73","LIED10MEAS/LLN0$Measurement"
"4332","1.068748428","ipcas_21:73:33","203","1","74","LIED10MEAS/LLN0$Measurement"
"4387","1.031036038","ipcas_21:73:33","203","1","75","LIED10MEAS/LLN0$Measurement"
"4444","1.062093475","ipcas_21:73:33","203","1","76","LIED10MEAS/LLN0$Measurement"
"4501","1.060427903","ipcas_21:73:33","203","1","77","LIED10MEAS/LLN0$Measurement"
"4560","1.069370919","ipcas_21:73:33","203","1","78","LIED10MEAS/LLN0$Measurement"
"4618","1.059859526","ipcas_21:73:33","203","1","79","LIED10MEAS/LLN0$Measurement"
"4675","1.041763173","ipcas_21:73:33","203","1","80","LIED10MEAS/LLN0$Measurement"
"4730","1.060784926","ipcas_21:73:33","203","1","81","LIED10MEAS/LLN0$Measurement"
"4787","1.055782457","ipcas_21:73:33","203","1","82","LIED10MEAS/LLN0$Measurement"
"4845","1.048705175","ipcas_21:73:33","203","1","83","LIED10MEAS/LLN0$Measurement"
"4902","1.074046721","ipcas_21:73:33","203","1","84","LIED10MEAS/LLN0$Measurement"
"4963","1.047196987","ipcas_21:73:33","203","1","85","LIED10MEAS/LLN0$Measurement"
"5028","1.089861894","ipcas_21:73:33","203","1","86","LIED10MEAS/LLN0$Measurement"
"5091","1.065396161","ipcas_21:73:33","203","1","87","LIED10MEAS/LLN0$Measurement"
"5150","1.055983921","ipcas_21:73:33","203","1","88","LIED10MEAS/LLN0$Measurement"
"5208","1.065314858","ipcas_21:73:33","203","1","89","LIED10MEAS/LLN0$Measurement"
"5267","1.050030462","ipcas_21:73:33","203","1","90","LIED10MEAS/LLN0$Measurement"
"5323","1.063397757","ipcas_21:73:33","203","1","91","LIED10MEAS/LLN0$Measurement"
"5383","1.054459994","ipcas_21:73:33","203","1","92","LIED10MEAS/LLN0$Measurement"
"5442","1.033856255","ipcas_21:73:33","203","1","93","LIED10MEAS/LLN0$Measurement"
"5500","1.041084629","ipcas_21:73:33","203","1","94","LIED10MEAS/LLN0$Measurement"
"5555","1.032216380","ipcas_21:73:33","203","1","95","LIED10MEAS/LLN0$Measurement"
"5610","1.045938683","ipcas_21:73:33","203","1","96","LIED10MEAS/LLN0$Measurement"
"5670","1.025662672","ipcas_21:73:33","203","1","97","LIED10MEAS/LLN0$Measurement"
"5727","1.054504356","ipcas_21:73:33","203","1","98","LIED10MEAS/LLN0$Measurement"
"5786","1.060820670","ipcas_21:73:33","203","1","99","LIED10MEAS/LLN0$Measurement"
"5843","1.071709635","ipcas_21:73:33","203","1","100","LIED10MEAS/LLN0$Measurement"
"5899","1.056640972","ipcas_21:73:33","203","1","101","LIED10MEAS/LLN0$Measurement"
"5959","1.061563672","ipcas_21:73:33","203","1","102","LIED10MEAS/LLN0$Measurement"
"6017","1.056234373","ipcas_21:73:33","203","1","103","LIED10MEAS/LLN0$Measurement"
"6074","1.055926412","ipcas_21:73:33","203","1","104","LIED10MEAS/LLN0$Measurement"
"6129","1.061267641","ipcas_21:73:33","203","1","105","LIED10MEAS/LLN0$Measurement"
"6186","1.046722789","ipcas_21:73:33","203","1","106","LIED10MEAS/LLN0$Measurement"
"6246","1.058495131","ipcas_21:73:33","203","1","107","LIED10MEAS/LLN0$Measurement"
"6306","1.043086751","ipcas_21:73:33","203","1","108","LIED10MEAS/LLN0$Measurement"
"6359","1.044909713","ipcas_21:73:33","203","1","109","LIED10MEAS/LLN0$Measurement"
"6415","1.057906200","ipcas_21:73:33","203","1","110","LIED10MEAS/LLN0$Measurement"
"6473","1.055497648","ipcas_21:73:33","203","1","111","LIED10MEAS/LLN0$Measurement"
"6534","1.090448183","ipcas_21:73:33","203","1","112","LIED10MEAS/LLN0$Measurement"
"6592","1.043677661","ipcas_21:73:33","203","1","113","LIED10MEAS/LLN0$Measurement"
"6646","1.056144854","ipcas_21:73:33","203","1","114","LIED10MEAS/LLN0$Measurement"
"6703","1.065669763","ipcas_21:73:33","203","1","115","LIED10MEAS/LLN0$Measurement"
"6763","1.054347518","ipcas_21:73:33","203","1","116","LIED10MEAS/LLN0$Measurement"
"6822","1.105880452","ipcas_21:73:33","203","1","117","LIED10MEAS/LLN0$Measurement"
"6887","1.056760970","ipcas_21:73:33","203","1","118","LIED10MEAS/LLN0$Measurement"
"6957","1.037406001","ipcas_21:73:33","203","1","119","LIED10MEAS/LLN0$Measurement"
"7045","1.058248276","ipcas_21:73:33","203","1","120","LIED10MEAS/LLN0$Measurement"
"7130","1.047736432","ipcas_21:73:33","203","1","121","LIED10MEAS/LLN0$Measurement"
"7216","1.050900437","ipcas_21:73:33","203","1","122","LIED10MEAS/LLN0$Measurement"
"7323","1.054743574","ipcas_21:73:33","203","1","123","LIED10MEAS/LLN0$Measurement"
"7405","1.041382564","ipcas_21:73:33","203","1","124","LIED10MEAS/LLN0$Measurement"
"7468","1.086758804","ipcas_21:73:33","203","1","125","LIED10MEAS/LLN0$Measurement"
"7536","1.050088099","ipcas_21:73:33","203","1","126","LIED10MEAS/LLN0$Measurement"
"7610","1.061178972","ipcas_21:73:33","203","1","127","LIED10MEAS/LLN0$Measurement"
"7675","1.069370595","ipcas_21:73:33","204","1","128","LIED10MEAS/LLN0$Measurement"
"7737","1.084877954","ipcas_21:73:33","204","1","129","LIED10MEAS/LLN0$Measurement"
"7806","1.062310725","ipcas_21:73:33","204","1","130","LIED10MEAS/LLN0$Measurement"
"7896","1.101863804","ipcas_21:73:33","204","1","131","LIED10MEAS/LLN0$Measurement"
"7959","1.034460338","ipcas_21:73:33","204","1","132","LIED10MEAS/LLN0$Measurement"
"8019","1.043486110","ipcas_21:73:33","204","1","133","LIED10MEAS/LLN0$Measurement"
"8079","1.042716306","ipcas_21:73:33","204","1","134","LIED10MEAS/LLN0$Measurement"
"8129","1.047614944","ipcas_21:73:33","204","1","135","LIED10MEAS/LLN0$Measurement"
"8184","1.029260677","ipcas_21:73:33","204","1","136","LIED10MEAS/LLN0$Measurement"
"8250","1.074006734","ipcas_21:73:33","204","1","137","LIED10MEAS/LLN0$Measurement"
"8310","1.067224985","ipcas_21:73:33","204","1","138","LIED10MEAS/LLN0$Measurement"
"8364","1.109304362","ipcas_21:73:33","204","1","139","LIED10MEAS/LLN0$Measurement"
"8416","0.990859327","ipcas_21:73:33","204","1","140","LIED10MEAS/LLN0$Measurement"
"8500","1.089196270","ipcas_21:73:33","204","1","141","LIED10MEAS/LLN0$Measurement"
"8559","1.052845681","ipcas_21:73:33","204","1","142","LIED10MEAS/LLN0$Measurement"
"8612","1.028805158","ipcas_21:73:33","204","1","143","LIED10MEAS/LLN0$Measurement"
"8673","1.064575092","ipcas_21:73:33","204","1","144","LIED10MEAS/LLN0$Measurement"
"8733","1.041026761","ipcas_21:73:33","204","1","145","LIED10MEAS/LLN0$Measurement"
"8790","1.051507362","ipcas_21:73:33","204","1","146","LIED10MEAS/LLN0$Measurement"
"8847","1.042200666","ipcas_21:73:33","204","1","147","LIED10MEAS/LLN0$Measurement"
"8927","1.028982284","ipcas_21:73:33","204","1","148","LIED10MEAS/LLN0$Measurement"
"9019","1.044197205","ipcas_21:73:33","204","1","149","LIED10MEAS/LLN0$Measurement"
"9159","1.060739864","ipcas_21:73:33","204","1","150","LIED10MEAS/LLN0$Measurement"
"9298","1.062193079","ipcas_21:73:33","204","1","151","LIED10MEAS/LLN0$Measurement"
"9406","1.076892992","ipcas_21:73:33","204","1","152","LIED10MEAS/LLN0$Measurement"
"9488","1.027349274","ipcas_21:73:33","204","1","153","LIED10MEAS/LLN0$Measurement"
"9588","1.055358522","ipcas_21:73:33","204","1","154","LIED10MEAS/LLN0$Measurement"
"9675","1.054114410","ipcas_21:73:33","204","1","155","LIED10MEAS/LLN0$Measurement"
"9742","1.067071231","ipcas_21:73:33","204","1","156","LIED10MEAS/LLN0$Measurement"
"9808","1.068627128","ipcas_21:73:33","204","1","157","LIED10MEAS/LLN0$Measurement"
"9882","1.092399436","ipcas_21:73:33","204","1","158","LIED10MEAS/LLN0$Measurement"
"9940","1.041778897","ipcas_21:73:33","204","1","159","LIED10MEAS/LLN0$Measurement"
"10001","1.059758644","ipcas_21:73:33","204","1","160","LIED10MEAS/LLN0$Measurement"
"10074","1.059366541","ipcas_21:73:33","204","1","161","LIED10MEAS/LLN0$Measurement"
"10171","1.052328242","ipcas_21:73:33","204","1","162","LIED10MEAS/LLN0$Measurement"
"10278","1.041663271","ipcas_21:73:33","204","1","163","LIED10MEAS/LLN0$Measurement"
"10385","1.039963762","ipcas_21:73:33","204","1","164","LIED10MEAS/LLN0$Measurement"
"10467","1.065780753","ipcas_21:73:33","204","1","165","LIED10MEAS/LLN0$Measurement"
"10608","1.073431417","ipcas_21:73:33","204","1","166","LIED10MEAS/LLN0$Measurement"
"10692","1.051165745","ipcas_21:73:33","204","1","167","LIED10MEAS/LLN0$Measurement"
"10759","1.057506115","ipcas_21:73:33","204","1","168","LIED10MEAS/LLN0$Measurement"
"10822","1.047857425","ipcas_21:73:33","204","1","169","LIED10MEAS/LLN0$Measurement"
"10893","1.038988977","ipcas_21:73:33","204","1","170","LIED10MEAS/LLN0$Measurement"
"10962","1.047175766","ipcas_21:73:33","204","1","171","LIED10MEAS/LLN0$Measurement"
"11033","1.042012645","ipcas_21:73:33","204","1","172","LIED10MEAS/LLN0$Measurement"
"11105","1.086289536","ipcas_21:73:33","204","1","173","LIED10MEAS/LLN0$Measurement"
"11164","1.056618097","ipcas_21:73:33","204","1","174","LIED10MEAS/LLN0$Measurement"
"11225","1.048835579","ipcas_21:73:33","204","1","175","LIED10MEAS/LLN0$Measurement"
"11289","1.113442684","ipcas_21:73:33","204","1","176","LIED10MEAS/LLN0$Measurement"
"11348","1.044826750","ipcas_21:73:33","204","1","177","LIED10MEAS/LLN0$Measurement"
"11404","1.060225411","ipcas_21:73:33","204","1","178","LIED10MEAS/LLN0$Measurement"
"11463","1.053948848","ipcas_21:73:33","204","1","179","LIED10MEAS/LLN0$Measurement"
"11532","1.068245888","ipcas_21:73:33","204","1","180","LIED10MEAS/LLN0$Measurement"
"11589","1.101280355","ipcas_21:73:33","204","1","181","LIED10MEAS/LLN0$Measurement"
"11647","1.055267941","ipcas_21:73:33","204","1","182","LIED10MEAS/LLN0$Measurement"
"11705","1.060565513","ipcas_21:73:33","204","1","183","LIED10MEAS/LLN0$Measurement"
"11762","1.086259080","ipcas_21:73:33","204","1","184","LIED10MEAS/LLN0$Measurement"
"11819","1.026687530","ipcas_21:73:33","204","1","185","LIED10MEAS/LLN0$Measurement"
"11876","1.084449130","ipcas_21:73:33","204","1","186","LIED10MEAS/LLN0$Measurement"
"11931","1.034377424","ipcas_21:73:33","204","1","187","LIED10MEAS/LLN0$Measurement"
"11987","1.054524710","ipcas_21:73:33","204","1","188","LIED10MEAS/LLN0$Measurement"
"12045","1.044933887","ipcas_21:73:33","204","1","189","LIED10MEAS/LLN0$Measurement"
"12101","1.043340432","ipcas_21:73:33","204","1","190","LIED10MEAS/LLN0$Measurement"
"12199","1.047660825","ipcas_21:73:33","204","1","191","LIED10MEAS/LLN0$Measurement"
"12288","1.055421250","ipcas_21:73:33","204","1","192","LIED10MEAS/LLN0$Measurement"
"12430","1.029906555","ipcas_21:73:33","204","1","193","LIED10MEAS/LLN0$Measurement"
"12558","1.062462757","ipcas_21:73:33","204","1","194","LIED10MEAS/LLN0$Measurement"
"12664","1.035895160","ipcas_21:73:33","204","1","195","LIED10MEAS/LLN0$Measurement"
"12744","1.078780979","ipcas_21:73:33","204","1","196","LIED10MEAS/LLN0$Measurement"
"12836","1.039158749","ipcas_21:73:33","204","1","197","LIED10MEAS/LLN0$Measurement"
"12901","1.040770419","ipcas_21:73:33","204","1","198","LIED10MEAS/LLN0$Measurement"
"12968","1.082513801","ipcas_21:73:33","204","1","199","LIED10MEAS/LLN0$Measurement"
"13034","1.071157209","ipcas_21:73:33","204","1","200","LIED10MEAS/LLN0$Measurement"
"13103","1.060668972","ipcas_21:73:33","204","1","201","LIED10MEAS/LLN0$Measurement"
"13160","1.072145353","ipcas_21:73:33","204","1","202","LIED10MEAS/LLN0$Measurement"
"13219","1.057013310","ipcas_21:73:33","204","1","203","LIED10MEAS/LLN0$Measurement"
"13291","1.062432650","ipcas_21:73:33","204","1","204","LIED10MEAS/LLN0$Measurement"
"13399","1.072214842","ipcas_21:73:33","204","1","205","LIED10MEAS/LLN0$Measurement"
"13487","1.050174137","ipcas_21:73:33","204","1","206","LIED10MEAS/LLN0$Measurement"
"13550","1.078986110","ipcas_21:73:33","204","1","207","LIED10MEAS/LLN0$Measurement"
"13642","1.102065048","ipcas_21:73:33","204","1","208","LIED10MEAS/LLN0$Measurement"
"13750","1.061690661","ipcas_21:73:33","204","1","209","LIED10MEAS/LLN0$Measurement"
"13862","1.127553425","ipcas_21:73:33","204","1","210","LIED10MEAS/LLN0$Measurement"
"13926","1.025728311","ipcas_21:73:33","204","1","211","LIED10MEAS/LLN0$Measurement"
"13993","1.082377160","ipcas_21:73:33","204","1","212","LIED10MEAS/LLN0$Measurement"
"14066","1.070209674","ipcas_21:73:33","204","1","213","LIED10MEAS/LLN0$Measurement"
"14131","1.047528327","ipcas_21:73:33","204","1","214","LIED10MEAS/LLN0$Measurement"
"14192","1.043485355","ipcas_21:73:33","204","1","215","LIED10MEAS/LLN0$Measurement"
"14257","1.058824356","ipcas_21:73:33","204","1","216","LIED10MEAS/LLN0$Measurement"
"14319","1.071242413","ipcas_21:73:33","204","1","217","LIED10MEAS/LLN0$Measurement"
"14382","1.129247256","ipcas_21:73:33","204","1","218","LIED10MEAS/LLN0$Measurement"
"14443","1.037125200","ipcas_21:73:33","204","1","219","LIED10MEAS/LLN0$Measurement"
"14501","1.052443817","ipcas_21:73:33","204","1","220","LIED10MEAS/LLN0$Measurement"
"14563","1.094984266","ipcas_21:73:33","204","1","221","LIED10MEAS/LLN0$Measurement"
"14633","1.053450471","ipcas_21:73:33","204","1","222","LIED10MEAS/LLN0$Measurement"
"14680","1.051172422","ipcas_21:73:33","204","1","223","LIED10MEAS/LLN0$Measurement"
"14739","1.064421523","ipcas_21:73:33","204","1","224","LIED10MEAS/LLN0$Measurement"
"14820","1.126027594","ipcas_21:73:33","204","1","225","LIED10MEAS/LLN0$Measurement"
"14880","1.037889122","ipcas_21:73:33","204","1","226","LIED10MEAS/LLN0$Measurement"
"14938","1.061209957","ipcas_21:73:33","204","1","227","LIED10MEAS/LLN0$Measurement"
"14995","1.038017098","ipcas_21:73:33","204","1","228","LIED10MEAS/LLN0$Measurement"
"15053","1.033361877","ipcas_21:73:33","204","1","229","LIED10MEAS/LLN0$Measurement"
"15112","1.069061707","ipcas_21:73:33","204","1","230","LIED10MEAS/LLN0$Measurement"
"15170","1.053385484","ipcas_21:73:33","204","1","231","LIED10MEAS/LLN0$Measurement"
"15226","1.053417013","ipcas_21:73:33","204","1","232","LIED10MEAS/LLN0$Measurement"
"15276","1.050451776","ipcas_21:73:33","204","1","233","LIED10MEAS/LLN0$Measurement"
"15350","1.067022639","ipcas_21:73:33","204","1","234","LIED10MEAS/LLN0$Measurement"
"15459","1.092690984","ipcas_21:73:33","204","1","235","LIED10MEAS/LLN0$Measurement"
"15583","1.032460170","ipcas_21:73:33","204","1","236","LIED10MEAS/LLN0$Measurement"
"15720","1.029275875","ipcas_21:73:33","204","1","237","LIED10MEAS/LLN0$Measurement"
"15833","1.053654723","ipcas_21:73:33","204","1","238","LIED10MEAS/LLN0$Measurement"
"15924","1.041717133","ipcas_21:73:33","204","1","239","LIED10MEAS/LLN0$Measurement"
"16023","1.067518233","ipcas_21:73:33","204","1","240","LIED10MEAS/LLN0$Measurement"
"16105","1.059071967","ipcas_21:73:33","204","1","241","LIED10MEAS/LLN0$Measurement"
"16173","1.058476078","ipcas_21:73:33","204","1","242","LIED10MEAS/LLN0$Measurement"
"16237","1.057727578","ipcas_21:73:33","204","1","243","LIED10MEAS/LLN0$Measurement"
"16319","1.044518312","ipcas_21:73:33","204","1","244","LIED10MEAS/LLN0$Measurement"
"16383","1.087350546","ipcas_21:73:33","204","1","245","LIED10MEAS/LLN0$Measurement"
"16453","1.046499753","ipcas_21:73:33","204","1","246","LIED10MEAS/LLN0$Measurement"
"16552","1.035881912","ipcas_21:73:33","204","1","247","LIED10MEAS/LLN0$Measurement"
"16661","1.060280521","ipcas_21:73:33","204","1","248","LIED10MEAS/LLN0$Measurement"
"16727","1.041965882","ipcas_21:73:33","204","1","249","LIED10MEAS/LLN0$Measurement"
"16788","1.064611132","ipcas_21:73:33","204","1","250","LIED10MEAS/LLN0$Measurement"
"16874","1.053154401","ipcas_21:73:33","204","1","251","LIED10MEAS/LLN0$Measurement"
"16970","1.060396966","ipcas_21:73:33","204","1","252","LIED10MEAS/LLN0$Measurement"
"17097","1.057781433","ipcas_21:73:33","204","1","253","LIED10MEAS/LLN0$Measurement"
"17180","1.053893267","ipcas_21:73:33","204","1","254","LIED10MEAS/LLN0$Measurement"
"17247","1.035584016","ipcas_21:73:33","204","1","255","LIED10MEAS/LLN0$Measurement"
"17314","1.061304665","ipcas_21:73:33","204","1","256","LIED10MEAS/LLN0$Measurement"
"17374","1.041114355","ipcas_21:73:33","204","1","257","LIED10MEAS/LLN0$Measurement"
"17436","1.059283419","ipcas_21:73:33","204","1","258","LIED10MEAS/LLN0$Measurement"
"17501","1.043176235","ipcas_21:73:33","204","1","259","LIED10MEAS/LLN0$Measurement"
"17567","1.054159206","ipcas_21:73:33","204","1","260","LIED10MEAS/LLN0$Measurement"
"17627","1.055138637","ipcas_21:73:33","204","1","261","LIED10MEAS/LLN0$Measurement"
"17689","1.075564860","ipcas_21:73:33","204","1","262","LIED10MEAS/LLN0$Measurement"
"17747","1.038152311","ipcas_21:73:33","204","1","263","LIED10MEAS/LLN0$Measurement"
"17807","1.072522068","ipcas_21:73:33","204","1","264","LIED10MEAS/LLN0$Measurement"
"17866","1.034198921","ipcas_21:73:33","204","1","265","LIED10MEAS/LLN0$Measurement"
"17926","1.041384511","ipcas_21:73:33","204","1","266","LIED10MEAS/LLN0$Measurement"
"17989","1.062152805","ipcas_21:73:33","204","1","267","LIED10MEAS/LLN0$Measurement"
"18050","1.046455920","ipcas_21:73:33","204","1","268","LIED10MEAS/LLN0$Measurement"
"18109","1.045871185","ipcas_21:73:33","204","1","269","LIED10MEAS/LLN0$Measurement"
"18166","1.056587913","ipcas_21:73:33","204","1","270","LIED10MEAS/LLN0$Measurement"
"18223","1.073146088","ipcas_21:73:33","204","1","271","LIED10MEAS/LLN0$Measurement"
"18283","1.079952097","ipcas_21:73:33","204","1","272","LIED10MEAS/LLN0$Measurement"
"18344","1.061152223","ipcas_21:73:33","204","1","273","LIED10MEAS/LLN0$Measurement"
"18402","1.058898646","ipcas_21:73:33","204","1","274","LIED10MEAS/LLN0$Measurement"
"18459","1.069368926","ipcas_21:73:33","204","1","275","LIED10MEAS/LLN0$Measurement"
"18515","1.076128666","ipcas_21:73:33","204","1","276","LIED10MEAS/LLN0$Measurement"
"18576","1.055366944","ipcas_21:73:33","204","1","277","LIED10MEAS/LLN0$Measurement"
"18682","1.071135901","ipcas_21:73:33","204","1","278","LIED10MEAS/LLN0$Measurement"
"18779","1.033546140","ipcas_21:73:33","204","1","279","LIED10MEAS/LLN0$Measurement"
"18923","1.030427598","ipcas_21:73:33","204","1","280","LIED10MEAS/LLN0$Measurement"
"19043","1.047114858","ipcas_21:73:33","204","1","281","LIED10MEAS/LLN0$Measurement"
"19146","1.037957055","ipcas_21:73:33","204","1","282","LIED10MEAS/LLN0$Measurement"
"19237","1.026631890","ipcas_21:73:33","204","1","283","LIED10MEAS/LLN0$Measurement"
"19332","1.078547564","ipcas_21:73:33","204","1","284","LIED10MEAS/LLN0$Measurement"
"19406","1.037672302","ipcas_21:73:33","204","1","285","LIED10MEAS/LLN0$Measurement"
"19468","1.048003114","ipcas_21:73:33","204","1","286","LIED10MEAS/LLN0$Measurement"
"19542","1.081081805","ipcas_21:73:33","204","1","287","LIED10MEAS/LLN0$Measurement"
"19612","1.048825569","ipcas_21:73:33","204","1","288","LIED10MEAS/LLN0$Measurement"
"19685","1.061174119","ipcas_21:73:33","204","1","289","LIED10MEAS/LLN0$Measurement"
"19750","1.052221934","ipcas_21:73:33","204","1","290","LIED10MEAS/LLN0$Measurement"
"19806","1.030927136","ipcas_21:73:33","204","1","291","LIED10MEAS/LLN0$Measurement"
"19871","1.077961842","ipcas_21:73:33","204","1","292","LIED10MEAS/LLN0$Measurement"
"19928","1.058408504","ipcas_21:73:33","204","1","293","LIED10MEAS/LLN0$Measurement"
